"Notes"	"Year"	"YearCode"	"State"	"StateCode"	"Births"	"TotalPopulation"	"BirthRate"
	"2005"	"2005"	"Ohio"	"39"	148388	11463320	12.94
	"2005"	"2005"	"Oklahoma"	"40"	51801	3548597	14.60
	"2005"	"2005"	"Oregon"	"41"	45922	3613202	12.71
	"2005"	"2005"	"Pennsylvania"	"42"	145383	12449990	11.68
	"2005"	"2005"	"Rhode Island"	"44"	12697	1067916	11.89
	"2005"	"2005"	"South Carolina"	"45"	57711	4270150	13.51
	"2005"	"2005"	"South Dakota"	"46"	11462	775493	14.78
	"2005"	"2005"	"Tennessee"	"47"	81747	5991057	13.64
	"2005"	"2005"	"Texas"	"48"	385915	22778123	16.94
	"2005"	"2005"	"Utah"	"49"	51556	2457719	20.98
	"2005"	"2005"	"Vermont"	"50"	6295	621215	10.13
	"2005"	"2005"	"Virginia"	"51"	104555	7577105	13.80
	"2005"	"2005"	"Washington"	"53"	82703	6257305	13.22
	"2005"	"2005"	"West Virginia"	"54"	20836	1820492	11.45
	"2005"	"2005"	"Wisconsin"	"55"	70984	5546166	12.80
	"2005"	"2005"	"Wyoming"	"56"	7239	514157	14.08
	"2006"	"2006"	"Alabama"	"01"	63232	4628981	13.66
	"2006"	"2006"	"Alaska"	"02"	10996	675302	16.28
	"2006"	"2006"	"Arizona"	"04"	102429	6029141	16.99
	"2006"	"2006"	"Arkansas"	"05"	40961	2821761	14.52
	"2006"	"2006"	"California"	"06"	562440	36021202	15.61
	"2006"	"2006"	"Colorado"	"08"	70751	4720423	14.99
	"2006"	"2006"	"Connecticut"	"09"	41820	3517460	11.89
	"2006"	"2006"	"Delaware"	"10"	11989	859268	13.95
	"2006"	"2006"	"District of Columbia"	"11"	8523	570681	14.93
	"2006"	"2006"	"Florida"	"12"	236802	18166990	13.03
	"2006"	"2006"	"Georgia"	"13"	148633	9155813	16.23
	"2006"	"2006"	"Hawaii"	"15"	18982	1309731	14.49
	"2006"	"2006"	"Idaho"	"16"	24184	1468669	16.47
	"2006"	"2006"	"Illinois"	"17"	180572	12643955	14.28
	"2006"	"2006"	"Indiana"	"18"	88631	6332669	14.00
	"2006"	"2006"	"Iowa"	"19"	40607	2982644	13.61
	"2006"	"2006"	"Kansas"	"20"	40968	2762931	14.83
	"2006"	"2006"	"Kentucky"	"21"	58250	4219239	13.81
	"2006"	"2006"	"Louisiana"	"22"	63376	4302665	14.73
	"2006"	"2006"	"Maine"	"23"	14151	1323619	10.69
	"2006"	"2006"	"Maryland"	"24"	77494	5627367	13.77
	"2006"	"2006"	"Massachusetts"	"25"	77676	6410084	12.12
	"2006"	"2006"	"Michigan"	"26"	127483	10036081	12.70
	"2006"	"2006"	"Minnesota"	"27"	73525	5163555	14.24
	"2006"	"2006"	"Mississippi"	"28"	46056	2904978	15.85
	"2006"	"2006"	"Missouri"	"29"	81385	5842704	13.93
	"2006"	"2006"	"Montana"	"30"	12508	952692	13.13
	"2006"	"2006"	"Nebraska"	"31"	26727	1772693	15.08
	"2006"	"2006"	"Nevada"	"32"	40027	2522658	15.87
	"2006"	"2006"	"New Hampshire"	"33"	14378	1308389	10.99
	"2006"	"2006"	"New Jersey"	"34"	115020	8661679	13.28
	"2006"	"2006"	"New Mexico"	"35"	29936	1962137	15.26
	"2006"	"2006"	"New York"	"36"	250104	19104631	13.09
