Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
El Salvador,SLV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1950,2040,2160,2230,2310,2470,2660,2870,3040,3250,3460,3390,3450,3600,3730,3850,3890,3940
Equatorial Guinea,GNQ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,790,920,880,1040,1470,1390,2040,4660,9850,14310,17880,15980,12910,15150,18470,18530,17360,12820
Eritrea,ERI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,220,210,200,200,200,200,230,260,280,280,280,330,380,480,..,..,..,..
Estonia,EST,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,4150,4320,4620,5710,7480,9710,11500,13500,15070,14470,14540,15870,16900,18200,18790,18320
Ethiopia,ETH,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,130,120,120,130,120,110,130,160,180,220,280,340,380,390,410,470,550,590
Faroe Islands,FRO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2300,2350,2230,2140,2170,2420,3030,3590,3630,3830,4020,3870,3650,3760,4120,4690,4850,4830
Finland,FIN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,25790,26040,26420,25780,25510,28680,35200,40100,42740,46040,49920,48590,49330,49910,48670,49220,48960,46560
France,FRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,25970,25560,25150,23940,23180,26020,31500,36000,37960,40250,43510,43760,43790,44220,43020,43400,42810,40710
French Polynesia,PYF,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,16890,16400,15990,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3930,3270,3090,3420,3600,3870,4320,5580,5750,6630,7480,7880,8250,8650,9850,10270,10410,9200
"Gambia, The",GMB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,710,690,670,600,480,420,420,400,410,450,520,580,590,520,520,500,460,..
Georgia,GEO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,820,780,750,720,770,910,1120,1410,1790,2240,2670,2800,3000,3300,3870,4240,4490,4120
Germany,DEU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,27990,26880,26210,24790,23710,26230,31730,35880,38370,40700,43870,43810,44790,47360,46710,47470,47680,45790
Ghana,GHA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,400,400,340,300,280,320,390,470,610,800,1170,1210,1260,1410,1570,1740,1590,1480
Gibraltar,GIB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
